cluster_id,main_factor
351,"Running_Light_Sign,Speeding"
352,Speeding
353,"Running_Light_Sign,Speeding"
354,
355,Failure_to_Yield
356,Failure_to_Yield
357,Running_Light_Sign
358,"Distracted,Failure_to_Yield,Improper_Right_Turn"
359,
360,Passing_Closely
361,"Distracted,Failure_to_Yield,Running_Light_Sign"
362,"Failure_to_Yield,Running_Light_Sign"
363,"Failure_to_Yield,Running_Light_Sign"
364,"Failure_to_Yield,Other,Speeding"
365,Failure_to_Yield
366,"Distracted,Failure_to_Yield,Running_Light_Sign"
367,"Failure_to_Yield,Running_Light_Sign"
368,Passing_Closely
369,"Running_Light_Sign,Speeding"
370,"Distracted,Running_Light_Sign,Speeding"
371,Speeding
372,"Distracted,Running_Light_Sign,Speeding"
373,Failure_to_Yield
374,Failure_to_Yield
375,Speeding
376,Distracted
377,"Distracted,Failure_to_Yield,Running_Light_Sign"
378,Passing_Closely
379,"Failure_to_Yield,Running_Light_Sign"
380,Distracted
381,Failure_to_Yield
382,
383,Passing_Closely
384,Speeding
385,Passing_Closely
386,Failure_to_Yield
387,Failure_to_Yield
388,Speeding
389,Failure_to_Yield
390,Failure_to_Yield
391,"Distracted,Failure_to_Yield,Running_Light_Sign"
392,"Failure_to_Yield,Speeding"
393,Failure_to_Yield
394,"Failure_to_Yield,Running_Light_Sign"
395,
396,Running_Light_Sign
397,Passing_Closely
398,Failure_to_Yield
399,Failure_to_Yield
400,"Failure_to_Yield,Passing_Closely"
401,"Jumping_the_Curb,Speeding"
402,"Failure_to_Yield,Improper_Right_Turn"
403,Failure_to_Yield
404,Speeding
405,Running_Light_Sign
406,"Failure_to_Yield,Speeding"
407,
408,"Failure_to_Yield,Speeding"
409,Failure_to_Yield
410,Passing_Closely
411,
412,"Failure_to_Yield,Speeding"
413,Speeding
414,"Failure_to_Yield,Running_Light_Sign"
415,
416,"Running_Light_Sign,Speeding"
417,
418,Failure_to_Yield
419,"Failure_to_Yield,Speeding"
420,"Distracted,Failure_to_Yield,Passing_Closely,Speeding"
421,Failure_to_Yield
422,
423,Failure_to_Yield
424,Failure_to_Yield
425,Distracted
426,"Distracted,Speeding"
427,"Distracted,Failure_to_Yield,Other"
428,Failure_to_Yield
429,
430,"Speeding,Other"
431,Running_Light_Sign
432,Speeding
433,
434,"Failure_to_Yield,Improper_Right_Turn"
435,"Distracted,Failure_to_Yield"
436,"Passing_Closely,Distracted,Failure_to_Yield,Jumping_the_Curb,Speeding"
437,"Running_Light_Sign,Speeding"
438,
439,
440,Failure_to_Yield
441,Other
442,"Failure_to_Yield,Speeding"
443,Other
444,"Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
445,"Passing_Closely,Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
446,"Failure_to_Yield,Running_Light_Sign"
447,
448,Other
449,"Failure_to_Yield,Running_Light_Sign,Speeding,Other"
450,"Failure_to_Yield,Jumping_the_Curb,Other"
451,Failure_to_Yield
452,"Passing_Closely,Failure_to_Yield,Speeding"
453,
454,
455,Passing_Closely
456,"Catching_Yellow_Light,Distracted,Failure_to_Yield,Other"
457,"Catching_Yellow_Light,Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign,Speeding,U-turn"
458,"Failure_to_Yield,Improper_Right_Turn"
459,"Passing_Closely,Other"
460,"Running_Light_Sign,Speeding"
461,"Passing_Closely,Failure_to_Yield"
462,"Distracted,Failure_to_Yield,Speeding"
463,Wrong_Way
464,"Distracted,Failure_to_Yield"
465,"Passing_Closely,Jumping_the_Curb,Speeding,U-turn"
466,Failure_to_Yield
467,Failure_to_Yield
468,"Distracted,Failure_to_Yield,Speeding"
469,
470,"Failure_to_Yield,Speeding"
471,"Running_Light_Sign,Speeding"
472,Failure_to_Yield
473,"Distracted,Failure_to_Yield"
474,"Passing_Closely,Running_Light_Sign,Speeding"
475,
476,Passing_Closely
477,
478,Failure_to_Yield
479,Failure_to_Yield
480,"Distracted,Failure_to_Yield,Other"
481,
482,Passing_Closely
483,"Improper_Right_Turn,Running_Light_Sign,Wrong_Way"
484,"Passing_Closely,Failure_to_Yield,Speeding"
485,"Speeding,Other"
486,Other
487,
488,"Failure_to_Yield,Speeding"
489,"Failure_to_Yield,Running_Light_Sign,Speeding"
490,
491,
492,"Failure_to_Yield,Speeding"
493,
494,"Failure_to_Yield,Speeding"
495,Other
496,"Failure_to_Yield,Speeding"
497,"Distracted,Speeding,Other"
498,"Passing_Closely,Failure_to_Yield"
499,Failure_to_Yield
500,"Passing_Closely,Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
501,"Distracted,Failure_to_Yield,Improper_Right_Turn,Speeding"
502,
503,"Distracted,Failure_to_Yield"
504,Running_Light_Sign
505,"Failure_to_Yield,Other"
506,"Failure_to_Yield,Speeding"
